step,x,rust_status,ffi_status,rust_n,rust_nt,rust_anom,rust_exc,rust_norm,ffi_anom,ffi_exc,ffi_norm
1000,0.840187716763467,Normal,Normal,1001,4,0,0,1,0,0,1
1001,0.394382926635444,Normal,Normal,1002,4,0,0,2,0,0,2
1002,0.783099223393947,Normal,Normal,1003,4,0,0,3,0,0,3
1003,0.798440033104271,Normal,Normal,1004,4,0,0,4,0,0,4
1004,0.911647357512265,Normal,Normal,1005,4,0,0,5,0,0,5
1005,0.197551369201392,Normal,Normal,1006,4,0,0,6,0,0,6
1006,0.335222755558789,Normal,Normal,1007,4,0,0,7,0,0,7
1007,0.768229594454169,Normal,Normal,1008,4,0,0,8,0,0,8
1008,0.277774710673839,Normal,Normal,1009,4,0,0,9,0,0,9
1009,0.553969955537468,Normal,Normal,1010,4,0,0,10,0,0,10
1010,0.477397051639855,Normal,Normal,1011,4,0,0,11,0,0,11
1011,0.628870924469084,Normal,Normal,1012,4,0,0,12,0,0,12
1012,0.364784472621977,Normal,Normal,1013,4,0,0,13,0,0,13
1013,0.513400909956545,Normal,Normal,1014,4,0,0,14,0,0,14
1014,0.952229724731296,Normal,Normal,1015,4,0,0,15,0,0,15
1015,0.916195067577064,Normal,Normal,1016,4,0,0,16,0,0,16
1016,0.635711727663875,Normal,Normal,1017,4,0,0,17,0,0,17
1017,0.717296929098666,Normal,Normal,1018,4,0,0,18,0,0,18
1018,0.141602555289865,Normal,Normal,1019,4,0,0,19,0,0,19
1019,0.606968875974417,Normal,Normal,1020,4,0,0,20,0,0,20
1020,0.016300571616739,Normal,Normal,1021,4,0,0,21,0,0,21
1021,0.242886770516634,Normal,Normal,1022,4,0,0,22,0,0,22
1022,0.137231576722115,Normal,Normal,1023,4,0,0,23,0,0,23
1023,0.804176753852516,Normal,Normal,1024,4,0,0,24,0,0,24
1024,0.156679089181125,Normal,Normal,1025,4,0,0,25,0,0,25
1025,0.400944394059479,Normal,Normal,1026,4,0,0,26,0,0,26
1026,0.129790446721017,Normal,Normal,1027,4,0,0,27,0,0,27
1027,0.108808801975101,Normal,Normal,1028,4,0,0,28,0,0,28
1028,0.998924517538399,Excess,Excess,1029,5,0,1,28,0,1,28
1029,0.218256905209273,Normal,Normal,1030,5,0,1,29,0,1,29
1030,0.512932394165546,Normal,Normal,1031,5,0,1,30,0,1,30
1031,0.839112234301865,Normal,Normal,1032,5,0,1,31,0,1,31
1032,0.612639832310379,Normal,Normal,1033,5,0,1,32,0,1,32
1033,0.296031617559493,Normal,Normal,1034,5,0,1,33,0,1,33
1034,0.637552267406136,Normal,Normal,1035,5,0,1,34,0,1,34
1035,0.524287189822644,Normal,Normal,1036,5,0,1,35,0,1,35
1036,0.493582986760885,Normal,Normal,1037,5,0,1,36,0,1,36
1037,0.972775023430586,Normal,Normal,1038,5,0,1,37,0,1,37
1038,0.292516784276813,Normal,Normal,1039,5,0,1,38,0,1,38
1039,0.771357697434723,Normal,Normal,1040,5,0,1,39,0,1,39
1040,0.526744978968054,Normal,Normal,1041,5,0,1,40,0,1,40
1041,0.769913835916668,Normal,Normal,1042,5,0,1,41,0,1,41
1042,0.400228621903807,Normal,Normal,1043,5,0,1,42,0,1,42
1043,0.891529451590031,Normal,Normal,1044,5,0,1,43,0,1,43
1044,0.283314745873213,Normal,Normal,1045,5,0,1,44,0,1,44
1045,0.352458347100765,Normal,Normal,1046,5,0,1,45,0,1,45
1046,0.807724519632757,Normal,Normal,1047,5,0,1,46,0,1,46
1047,0.919026473537087,Normal,Normal,1048,5,0,1,47,0,1,47
1048,0.069755276199430,Normal,Normal,1049,5,0,1,48,0,1,48
1049,0.949327074922621,Normal,Normal,1050,5,0,1,49,0,1,49
1050,0.525995349977165,Normal,Normal,1051,5,0,1,50,0,1,50
1051,0.086055847816169,Normal,Normal,1052,5,0,1,51,0,1,51
1052,0.192213845904917,Normal,Normal,1053,5,0,1,52,0,1,52
1053,0.663226926699281,Normal,Normal,1054,5,0,1,53,0,1,53
1054,0.890232602134347,Normal,Normal,1055,5,0,1,54,0,1,54
1055,0.348892935086042,Normal,Normal,1056,5,0,1,55,0,1,55
1056,0.064171320758760,Normal,Normal,1057,5,0,1,56,0,1,56
1057,0.020023048855364,Normal,Normal,1058,5,0,1,57,0,1,57
1058,0.457701737061143,Normal,Normal,1059,5,0,1,58,0,1,58
1059,0.063095838297158,Normal,Normal,1060,5,0,1,59,0,1,59
1060,0.238279954064637,Normal,Normal,1061,5,0,1,60,0,1,60
1061,0.970634131226689,Normal,Normal,1062,5,0,1,61,0,1,61
1062,0.902208073064685,Normal,Normal,1063,5,0,1,62,0,1,62
1063,0.850919786375016,Normal,Normal,1064,5,0,1,63,0,1,63
1064,0.266665749251842,Normal,Normal,1065,5,0,1,64,0,1,64
1065,0.539760340470821,Normal,Normal,1066,5,0,1,65,0,1,65
1066,0.375206976197660,Normal,Normal,1067,5,0,1,66,0,1,66
1067,0.760248736012727,Normal,Normal,1068,5,0,1,67,0,1,67
1068,0.512535363901407,Normal,Normal,1069,5,0,1,68,0,1,68
1069,0.667723760474473,Normal,Normal,1070,5,0,1,69,0,1,69
1070,0.531606433913112,Normal,Normal,1071,5,0,1,70,0,1,70
1071,0.039280343335122,Normal,Normal,1072,5,0,1,71,0,1,71
1072,0.437637596391141,Normal,Normal,1073,5,0,1,72,0,1,72
1073,0.931835055816919,Normal,Normal,1074,5,0,1,73,0,1,73
1074,0.930809794925153,Normal,Normal,1075,5,0,1,74,0,1,74
1075,0.720952342730016,Normal,Normal,1076,5,0,1,75,0,1,75
1076,0.284293402917683,Normal,Normal,1077,5,0,1,76,0,1,76
1077,0.738534314557910,Normal,Normal,1078,5,0,1,77,0,1,77
1078,0.639978816267103,Normal,Normal,1079,5,0,1,78,0,1,78
1079,0.354048679582775,Normal,Normal,1080,5,0,1,79,0,1,79
1080,0.687861389946193,Normal,Normal,1081,5,0,1,80,0,1,80
1081,0.165974166244268,Normal,Normal,1082,5,0,1,81,0,1,81
1082,0.440104527398944,Normal,Normal,1083,5,0,1,82,0,1,82
1083,0.880075235851109,Normal,Normal,1084,5,0,1,83,0,1,83
1084,0.829201092943549,Normal,Normal,1085,5,0,1,84,0,1,84
1085,0.330337129533291,Normal,Normal,1086,5,0,1,85,0,1,85
1086,0.228968170937151,Normal,Normal,1087,5,0,1,86,0,1,86
1087,0.893372414167970,Normal,Normal,1088,5,0,1,87,0,1,87
1088,0.350360178388655,Normal,Normal,1089,5,0,1,88,0,1,88
1089,0.686669907998294,Normal,Normal,1090,5,0,1,89,0,1,89
1090,0.956468252465129,Normal,Normal,1091,5,0,1,90,0,1,90
1091,0.588640132918954,Normal,Normal,1092,5,0,1,91,0,1,91
1092,0.657304039224982,Normal,Normal,1093,5,0,1,92,0,1,92
1093,0.858676325529814,Normal,Normal,1094,5,0,1,93,0,1,93
1094,0.439559919293970,Normal,Normal,1095,5,0,1,94,0,1,94
1095,0.923969788476825,Normal,Normal,1096,5,0,1,95,0,1,95
1096,0.398436666466296,Normal,Normal,1097,5,0,1,96,0,1,96
1097,0.814766895957291,Normal,Normal,1098,5,0,1,97,0,1,97
1098,0.684218524955213,Normal,Normal,1099,5,0,1,98,0,1,98
1099,0.910972030367702,Normal,Normal,1100,5,0,1,99,0,1,99
1100,0.482490656431764,Normal,Normal,1101,5,0,1,100,0,1,100
1101,0.215824958868325,Normal,Normal,1102,5,0,1,101,0,1,101
1102,0.950252373702824,Normal,Normal,1103,5,0,1,102,0,1,102
1103,0.920128253288567,Normal,Normal,1104,5,0,1,103,0,1,103
1104,0.147660014685243,Normal,Normal,1105,5,0,1,104,0,1,104
1105,0.881062169093639,Normal,Normal,1106,5,0,1,105,0,1,105
1106,0.641080596018583,Normal,Normal,1107,5,0,1,106,0,1,106
1107,0.431953418068588,Normal,Normal,1108,5,0,1,107,0,1,107
1108,0.619596483651549,Normal,Normal,1109,5,0,1,108,0,1,108
1109,0.281059412285686,Normal,Normal,1110,5,0,1,109,0,1,109
1110,0.786002097651362,Normal,Normal,1111,5,0,1,110,0,1,110
1111,0.307457873597741,Normal,Normal,1112,5,0,1,111,0,1,111
1112,0.447033578995615,Normal,Normal,1113,5,0,1,112,0,1,112
1113,0.226106625050306,Normal,Normal,1114,5,0,1,113,0,1,113
1114,0.187533109448850,Normal,Normal,1115,5,0,1,114,0,1,114
1115,0.276234671939164,Normal,Normal,1116,5,0,1,115,0,1,115
1116,0.556443755049258,Normal,Normal,1117,5,0,1,116,0,1,116
1117,0.416501280386001,Normal,Normal,1118,5,0,1,117,0,1,117
1118,0.169607086107135,Normal,Normal,1119,5,0,1,118,0,1,118
1119,0.906803933437914,Normal,Normal,1120,5,0,1,119,0,1,119
1120,0.103171188384295,Normal,Normal,1121,5,0,1,120,0,1,120
1121,0.126075339037925,Normal,Normal,1122,5,0,1,121,0,1,121
1122,0.495444066356868,Normal,Normal,1123,5,0,1,122,0,1,122
1123,0.760475228074938,Normal,Normal,1124,5,0,1,123,0,1,123
1124,0.984751664567739,Normal,Normal,1125,5,0,1,124,0,1,124
1125,0.935003986116499,Normal,Normal,1126,5,0,1,125,0,1,125
1126,0.684445016551763,Normal,Normal,1127,5,0,1,126,0,1,126
1127,0.383188331034034,Normal,Normal,1128,5,0,1,127,0,1,127
1128,0.749770882073790,Normal,Normal,1129,5,0,1,128,0,1,128
1129,0.368663541506976,Normal,Normal,1130,5,0,1,129,0,1,129
1130,0.294160361867398,Normal,Normal,1131,5,0,1,130,0,1,130
1131,0.232261538505554,Normal,Normal,1132,5,0,1,131,0,1,131
1132,0.584488500375301,Normal,Normal,1133,5,0,1,132,0,1,132
1133,0.244412735570222,Normal,Normal,1134,5,0,1,133,0,1,133
1134,0.152389791794121,Normal,Normal,1135,5,0,1,134,0,1,134
1135,0.732148515526205,Normal,Normal,1136,5,0,1,135,0,1,135
1136,0.125474904663861,Normal,Normal,1137,5,0,1,136,0,1,136
1137,0.793470387812704,Normal,Normal,1138,5,0,1,137,0,1,137
1138,0.164101933594793,Normal,Normal,1139,5,0,1,138,0,1,138
1139,0.745071388781071,Normal,Normal,1140,5,0,1,139,0,1,139
1140,0.074529800564051,Normal,Normal,1141,5,0,1,140,0,1,140
1141,0.950104031246156,Normal,Normal,1142,5,0,1,141,0,1,141
1142,0.052529262378812,Normal,Normal,1143,5,0,1,142,0,1,142
1143,0.521563379559666,Normal,Normal,1144,5,0,1,143,0,1,143
1144,0.176210656296462,Normal,Normal,1145,5,0,1,144,0,1,144
1145,0.240062372293323,Normal,Normal,1146,5,0,1,145,0,1,145
1146,0.797798051498830,Normal,Normal,1147,5,0,1,146,0,1,146
1147,0.732654411345720,Normal,Normal,1148,5,0,1,147,0,1,147
1148,0.656563652679324,Normal,Normal,1149,5,0,1,148,0,1,148
1149,0.967405138071626,Normal,Normal,1150,5,0,1,149,0,1,149
1150,0.639458345249295,Normal,Normal,1151,5,0,1,150,0,1,150
1151,0.759734841529280,Normal,Normal,1152,5,0,1,151,0,1,151
1152,0.093480477109551,Normal,Normal,1153,5,0,1,152,0,1,152
1153,0.134902411606163,Normal,Normal,1154,5,0,1,153,0,1,153
1154,0.520210069604218,Normal,Normal,1155,5,0,1,154,0,1,154
1155,0.078232141677290,Normal,Normal,1156,5,0,1,155,0,1,155
1156,0.069906397722661,Normal,Normal,1157,5,0,1,156,0,1,156
1157,0.204655086155981,Normal,Normal,1158,5,0,1,157,0,1,157
1158,0.461420473176986,Normal,Normal,1159,5,0,1,158,0,1,158
1159,0.819677279796451,Normal,Normal,1160,5,0,1,159,0,1,159
1160,0.573318628128618,Normal,Normal,1161,5,0,1,160,0,1,160
1161,0.755580835044384,Normal,Normal,1162,5,0,1,161,0,1,161
1162,0.051938818767667,Normal,Normal,1163,5,0,1,162,0,1,162
1163,0.157807128503919,Normal,Normal,1164,5,0,1,163,0,1,163
1164,0.999993570614606,Excess,Excess,1165,6,0,2,163,0,2,163
1165,0.204328610561788,Normal,Normal,1166,6,0,2,164,0,2,164
1166,0.889955644030124,Normal,Normal,1167,6,0,2,165,0,2,165
1167,0.125468475744128,Normal,Normal,1168,6,0,2,166,0,2,166
1168,0.997798998840153,Excess,Excess,1169,7,0,3,166,0,3,166
1169,0.054057577624917,Normal,Normal,1170,7,0,3,167,0,3,167
1170,0.870539864525199,Normal,Normal,1171,7,0,3,168,0,3,168
1171,0.072328799404204,Normal,Normal,1172,7,0,3,169,0,3,169
1172,0.004161608871073,Normal,Normal,1173,7,0,3,170,0,3,170
1173,0.923069126904011,Normal,Normal,1174,7,0,3,171,0,3,171
1174,0.593892178963870,Normal,Normal,1175,7,0,3,172,0,3,172
1175,0.180372265633196,Normal,Normal,1176,7,0,3,173,0,3,173
1176,0.163131499197334,Normal,Normal,1177,7,0,3,174,0,3,174
1177,0.391690230462700,Normal,Normal,1178,7,0,3,175,0,3,175
1178,0.913026676978916,Normal,Normal,1179,7,0,3,176,0,3,176
1179,0.819695152342319,Normal,Normal,1180,7,0,3,177,0,3,177
1180,0.359095368534327,Normal,Normal,1181,7,0,3,178,0,3,178
1181,0.552485022228211,Normal,Normal,1182,7,0,3,179,0,3,179
1182,0.579429993871599,Normal,Normal,1183,7,0,3,180,0,3,180
1183,0.452575845643878,Normal,Normal,1184,7,0,3,181,0,3,181
1184,0.687387434300035,Normal,Normal,1185,7,0,3,182,0,3,182
1185,0.099640063475817,Normal,Normal,1186,7,0,3,183,0,3,183
1186,0.530807987786829,Normal,Normal,1187,7,0,3,184,0,3,184
1187,0.757293832022697,Normal,Normal,1188,7,0,3,185,0,3,185
1188,0.304295149631798,Normal,Normal,1189,7,0,3,186,0,3,186
1189,0.992228460963815,Normal,Normal,1190,7,0,3,187,0,3,187
1190,0.576971112284809,Normal,Normal,1191,7,0,3,188,0,3,188
1191,0.877613777760416,Normal,Normal,1192,7,0,3,189,0,3,189
1192,0.747809296008199,Normal,Normal,1193,7,0,3,190,0,3,190
1193,0.628909931052476,Normal,Normal,1194,7,0,3,191,0,3,191
1194,0.035420906729996,Normal,Normal,1195,7,0,3,192,0,3,192
1195,0.747802866622806,Normal,Normal,1196,7,0,3,193,0,3,193
1196,0.833238541614264,Normal,Normal,1197,7,0,3,194,0,3,194
1197,0.925376550760120,Normal,Normal,1198,7,0,3,195,0,3,195
1198,0.873271342366934,Normal,Normal,1199,7,0,3,196,0,3,196
1199,0.831037540454417,Normal,Normal,1200,7,0,3,197,0,3,197
1200,0.979434128850698,Normal,Normal,1201,7,0,3,198,0,3,198
1201,0.743811206892133,Normal,Normal,1202,7,0,3,199,0,3,199
1202,0.903366339858621,Normal,Normal,1203,7,0,3,200,0,3,200
1203,0.983595737721771,Normal,Normal,1204,7,0,3,201,0,3,201
1204,0.666880334261805,Normal,Normal,1205,7,0,3,202,0,3,202
1205,0.497258518822491,Normal,Normal,1206,7,0,3,203,0,3,203
1206,0.163968003354967,Normal,Normal,1207,7,0,3,204,0,3,204
1207,0.830011833459139,Normal,Normal,1208,7,0,3,205,0,3,205
1208,0.888948749750853,Normal,Normal,1209,7,0,3,206,0,3,206
1209,0.076994680799544,Normal,Normal,1210,7,0,3,207,0,3,207
1210,0.649706985801458,Normal,Normal,1211,7,0,3,208,0,3,208
1211,0.248044118285179,Normal,Normal,1212,7,0,3,209,0,3,209
1212,0.629479703027755,Normal,Normal,1213,7,0,3,210,0,3,210
1213,0.229136979673058,Normal,Normal,1214,7,0,3,211,0,3,211
1214,0.700619964394718,Normal,Normal,1215,7,0,3,212,0,3,212
1215,0.316867137327790,Normal,Normal,1216,7,0,3,213,0,3,213
1216,0.328777043148875,Normal,Normal,1217,7,0,3,214,0,3,214
1217,0.231427952181548,Normal,Normal,1218,7,0,3,215,0,3,215
1218,0.074160969816148,Normal,Normal,1219,7,0,3,216,0,3,216
1219,0.633072193246335,Normal,Normal,1220,7,0,3,217,0,3,217
1220,0.223656413145363,Normal,Normal,1221,7,0,3,218,0,3,218
1221,0.651132082100958,Normal,Normal,1222,7,0,3,219,0,3,219
1222,0.510685971006751,Normal,Normal,1223,7,0,3,220,0,3,220
1223,0.971465709153563,Normal,Normal,1224,7,0,3,221,0,3,221
1224,0.280042013153434,Normal,Normal,1225,7,0,3,222,0,3,222
1225,0.546106877736747,Normal,Normal,1226,7,0,3,223,0,3,223
1226,0.719268575776368,Normal,Normal,1227,7,0,3,224,0,3,224
1227,0.113280554767698,Normal,Normal,1228,7,0,3,225,0,3,225
1228,0.471483428962529,Normal,Normal,1229,7,0,3,226,0,3,226
1229,0.592539918608963,Normal,Normal,1230,7,0,3,227,0,3,227
1230,0.944318095687777,Normal,Normal,1231,7,0,3,228,0,3,228
1231,0.450917557813227,Normal,Normal,1232,7,0,3,229,0,3,229
1232,0.336351125501096,Normal,Normal,1233,7,0,3,230,0,3,230
1233,0.847684435546398,Normal,Normal,1234,7,0,3,231,0,3,231
1234,0.434513295534998,Normal,Normal,1235,7,0,3,232,0,3,232
1235,0.003231459762901,Normal,Normal,1236,7,0,3,233,0,3,233
1236,0.344942954834551,Normal,Normal,1237,7,0,3,234,0,3,234
1237,0.598481299355626,Normal,Normal,1238,7,0,3,235,0,3,235
1238,0.833243293687701,Normal,Normal,1239,7,0,3,236,0,3,236
1239,0.233891704585403,Normal,Normal,1240,7,0,3,237,0,3,237
1240,0.675475980155170,Normal,Normal,1241,7,0,3,238,0,3,238
1241,0.482950279489160,Normal,Normal,1242,7,0,3,239,0,3,239
1242,0.481935822870582,Normal,Normal,1243,7,0,3,240,0,3,240
1243,0.304955683182925,Normal,Normal,1244,7,0,3,241,0,3,241
1244,0.712087259627879,Normal,Normal,1245,7,0,3,242,0,3,242
1245,0.182555787265301,Normal,Normal,1246,7,0,3,243,0,3,243
1246,0.621822820976377,Normal,Normal,1247,7,0,3,244,0,3,244
1247,0.040864302776754,Normal,Normal,1248,7,0,3,245,0,3,245
1248,0.413983739446849,Normal,Normal,1249,7,0,3,246,0,3,246
1249,0.695983790792525,Normal,Normal,1250,7,0,3,247,0,3,247
1250,0.673936496023089,Normal,Normal,1251,7,0,3,248,0,3,248
1251,0.637640152592212,Normal,Normal,1252,7,0,3,249,0,3,249
1252,0.347115872893482,Normal,Normal,1253,7,0,3,250,0,3,250
1253,0.184622467495501,Normal,Normal,1254,7,0,3,251,0,3,251
1254,0.609105861745775,Normal,Normal,1255,7,0,3,252,0,3,252
1255,0.627157886046916,Normal,Normal,1256,7,0,3,253,0,3,253
1256,0.730729345232248,Normal,Normal,1257,7,0,3,254,0,3,254
1257,0.328374437987804,Normal,Normal,1258,7,0,3,255,0,3,255
1258,0.740438440814614,Normal,Normal,1259,7,0,3,256,0,3,256
1259,0.202212774194777,Normal,Normal,1260,7,0,3,257,0,3,257
1260,0.920914356596768,Normal,Normal,1261,7,0,3,258,0,3,258
1261,0.684756536502391,Normal,Normal,1262,7,0,3,259,0,3,259
1262,0.653130332008004,Normal,Normal,1263,7,0,3,260,0,3,260
1263,0.257265482097864,Normal,Normal,1264,7,0,3,261,0,3,261
1264,0.532440972514451,Normal,Normal,1265,7,0,3,262,0,3,262
1265,0.087643628008664,Normal,Normal,1266,7,0,3,263,0,3,263
1266,0.260496942326427,Normal,Normal,1267,7,0,3,264,0,3,264
1267,0.877383927349001,Normal,Normal,1268,7,0,3,265,0,3,265
1268,0.686124927364290,Normal,Normal,1269,7,0,3,266,0,3,266
1269,0.093740236014128,Normal,Normal,1270,7,0,3,267,0,3,267
1270,0.111275631934404,Normal,Normal,1271,7,0,3,268,0,3,268
1271,0.361600907519460,Normal,Normal,1272,7,0,3,269,0,3,269
1272,0.576690515503287,Normal,Normal,1273,7,0,3,270,0,3,270
1273,0.593211454804987,Normal,Normal,1274,7,0,3,271,0,3,271
1274,0.666556590702385,Normal,Normal,1275,7,0,3,272,0,3,272
1275,0.288777775131166,Normal,Normal,1276,7,0,3,273,0,3,273
1276,0.775767242535949,Normal,Normal,1277,7,0,3,274,0,3,274
1277,0.288379411678761,Normal,Normal,1278,7,0,3,275,0,3,275
1278,0.329642078373581,Normal,Normal,1279,7,0,3,276,0,3,276
1279,0.189750981982797,Normal,Normal,1280,7,0,3,277,0,3,277
1280,0.984363202471286,Normal,Normal,1281,7,0,3,278,0,3,278
1281,0.003578574396670,Normal,Normal,1282,7,0,3,279,0,3,279
1282,0.827391135040671,Normal,Normal,1283,7,0,3,280,0,3,280
1283,0.331479075364769,Normal,Normal,1284,7,0,3,281,0,3,281
1284,0.188201041892171,Normal,Normal,1285,7,0,3,282,0,3,282
1285,0.436496996786445,Normal,Normal,1286,7,0,3,283,0,3,283
1286,0.958636961411685,Normal,Normal,1287,7,0,3,284,0,3,284
1287,0.918930387590080,Normal,Normal,1288,7,0,3,285,0,3,285
1288,0.764871434774250,Normal,Normal,1289,7,0,3,286,0,3,286
1289,0.699075402691960,Normal,Normal,1290,7,0,3,287,0,3,287
1290,0.121143161784858,Normal,Normal,1291,7,0,3,288,0,3,288
1291,0.685785791371018,Normal,Normal,1292,7,0,3,289,0,3,289
1292,0.383831939194351,Normal,Normal,1293,7,0,3,290,0,3,290
1293,0.774273494258523,Normal,Normal,1294,7,0,3,291,0,3,291
1294,0.943051273934543,Normal,Normal,1295,7,0,3,292,0,3,292
1295,0.916272911708802,Normal,Normal,1296,7,0,3,293,0,3,293
1296,0.861917122267187,Normal,Normal,1297,7,0,3,294,0,3,294
1297,0.203548216260970,Normal,Normal,1298,7,0,3,295,0,3,295
1298,0.793656839057803,Normal,Normal,1299,7,0,3,296,0,3,296
1299,0.548042049631476,Normal,Normal,1300,7,0,3,297,0,3,297
1300,0.297288452275097,Normal,Normal,1301,7,0,3,298,0,3,298
1301,0.904932470992208,Normal,Normal,1302,7,0,3,299,0,3,299
1302,0.909642957150936,Normal,Normal,1303,7,0,3,300,0,3,300
1303,0.873978967778385,Normal,Normal,1304,7,0,3,301,0,3,301
1304,0.498143926262856,Normal,Normal,1305,7,0,3,302,0,3,302
1305,0.576199547853321,Normal,Normal,1306,7,0,3,303,0,3,303
1306,0.162756743375212,Normal,Normal,1307,7,0,3,304,0,3,304
1307,0.273911168798804,Normal,Normal,1308,7,0,3,305,0,3,305
1308,0.864578959997743,Normal,Normal,1309,7,0,3,306,0,3,306
1309,0.492398821748793,Normal,Normal,1310,7,0,3,307,0,3,307
1310,0.463662150781602,Normal,Normal,1311,7,0,3,308,0,3,308
1311,0.848942162469029,Normal,Normal,1312,7,0,3,309,0,3,309
1312,0.495977396145463,Normal,Normal,1313,7,0,3,310,0,3,310
1313,0.291053285822272,Normal,Normal,1314,7,0,3,311,0,3,311
1314,0.180421238299459,Normal,Normal,1315,7,0,3,312,0,3,312
1315,0.684178438503295,Normal,Normal,1316,7,0,3,313,0,3,313
1316,0.727550283074379,Normal,Normal,1317,7,0,3,314,0,3,314
1317,0.139058199711144,Normal,Normal,1318,7,0,3,315,0,3,315
1318,0.603108826093376,Normal,Normal,1319,7,0,3,316,0,3,316
1319,0.492421717848629,Normal,Normal,1320,7,0,3,317,0,3,317
1320,0.838133602403104,Normal,Normal,1321,7,0,3,318,0,3,318
1321,0.724251987878233,Normal,Normal,1322,7,0,3,319,0,3,319
1322,0.178207509685308,Normal,Normal,1323,7,0,3,320,0,3,320
1323,0.221965542063117,Normal,Normal,1324,7,0,3,321,0,3,321
1324,0.498525482136756,Normal,Normal,1325,7,0,3,322,0,3,322
1325,0.121258783619851,Normal,Normal,1326,7,0,3,323,0,3,323
1326,0.138238453771919,Normal,Normal,1327,7,0,3,324,0,3,324
1327,0.360442604403943,Normal,Normal,1328,7,0,3,325,0,3,325
1328,0.324806999880821,Normal,Normal,1329,7,0,3,326,0,3,326
1329,0.931895293295383,Normal,Normal,1330,7,0,3,327,0,3,327
1330,0.908484654035419,Normal,Normal,1331,7,0,3,328,0,3,328
1331,0.622095452155918,Normal,Normal,1332,7,0,3,329,0,3,329
1332,0.836827764287591,Normal,Normal,1333,7,0,3,330,0,3,330
1333,0.818127611186355,Normal,Normal,1334,7,0,3,331,0,3,331
1334,0.496074419934303,Normal,Normal,1335,7,0,3,332,0,3,332
